filename,SliceID
53_1841_0016,56__CT-6817-0015
53_1841_0017,56__CT-6817-0016
53_7605_0004,56__CT-6817-0017
53_7605_0005,56__CT-6817-0018
53_7605_0006,56__CT-6817-0019
53_7605_0007,56__CT-6817-0020
53_7605_0008,56__CT-6817-0021
56_6817_0006,57__CT--0002__CT-0002-0004
56_6817_0007,57__CT--0002__CT-0002-0005
56_6817_0008,57__CT--0002__CT-0002-0006
56_6817_0009,57__CT--0002__CT-0002-0007
56_6817_0010,57__CT-series-5652__CT-5652-0002
56_6817_0011,57__CT-series-5652__CT-5652-0003
56_6817_0012,57__CT-series-5652__CT-5652-0004
56_6817_0013,57__CT-series-5652__CT-5652-0005
56_6817_0014,57__CT-series-5652__CT-5652-0006
56_6817_0015,57__CT-series-5652__CT-5652-0008
56_6817_0016,62__CT-0002-0010
56_6817_0017,62__CT-0002-0015
56_6817_0018,62__CT-0002-0016
56_6817_0019,62__CT-0002-0017
56_6817_0020,62__CT-0002-0018
56_6817_0021,62__CT-0002-0020
57_0002_0004,62__CT-0002-0021
57_0002_0005,62__CT-0002-0022
57_0002_0006,62__CT-0002-0023
57_0002_0007,62__CT-0002-0025
57_3550_0012,74__CT-6269-0007
57_3550_0014,74__CT-6269-0008
57_3550_0015,74__CT-6269-0009
57_3550_0016,74__CT-6269-0011
57_3550_0017,74__CT-6269-0012
57_5652_0002,74__CT-6269-0013
57_5652_0003,74__CT-6269-0014
57_5652_0004,76__CT-0002-0016
57_5652_0005,76__CT-0002-0017
57_5652_0006,76__CT-0002-0018
57_5652_0008,76__CT-0002-0019
62_0002_0010,76__CT-0002-0020
62_0002_0015,76__CT-0002-0021
62_0002_0016,77__CT-0002-0014
62_0002_0017,77__CT-0002-0015
62_0002_0018,77__CT-0002-0016
62_0002_0020,77__CT-0002-0017
62_0002_0021,77__CT-0002-0018
62_0002_0022,78__CT-9830-0008
62_0002_0023,78__CT-9830-0009
62_0002_0025,78__CT-9830-0010
74_6269_0007,78__CT-9830-0011
74_6269_0008,78__CT-9830-0013
74_6269_0009,78__CT-9830-0014
74_6269_0011,78__CT-9830-0015
74_6269_0012,78__CT-9830-0016
74_6269_0013,78__CT-9830-0017
74_6269_0014,78__CT-9830-0018
76_0002_0016,78__CT-9830-0019
76_0002_0017,78__CT-9830-0020
76_0002_0018,80__CT-8088-0003
76_0002_0019,80__CT-8088-0004
76_0002_0020,80__CT-8088-0005
76_0002_0021,80__CT-8088-0006
77_0002_0014,80__CT-8088-0007
77_0002_0015,80__CT-8088-0008
77_0002_0016,80__CT-8088-0009
77_0002_0017,80__CT-8088-0010
77_0002_0018,80__CT-8088-0011
78_9830_0008,80__CT-8088-0012
78_9830_0009,80__CT-8088-0013
78_9830_0010,80__CT-8088-0014
78_9830_0011,80__CT-8088-0015
78_9830_0013,80__CT-8088-0016
78_9830_0014,80__CT-8088-0017
78_9830_0015,80__CT-8088-0018
78_9830_0016,80__CT-8088-0019
78_9830_0017,80__CT-8088-0020
78_9830_0018,80__CT-8088-0021
78_9830_0019,80__CT-8088-0022
78_9830_0020,80__CT-8088-0023
80_8088_0003,81__CT-0002-0009
80_8088_0004,81__CT-0002-0010
80_8088_0005,81__CT-0002-0011
80_8088_0006,81__CT-0002-0012
80_8088_0007,81__CT-0002-0014
80_8088_0008,81__CT-0002-0015
80_8088_0009,81__CT-0002-0016
80_8088_0010,81__CT-0002-0017
80_8088_0011,81__CT-0002-0018
80_8088_0012,82__CT-6135-0013
80_8088_0013,82__CT-6135-0014
80_8088_0014,82__CT-6135-0017
80_8088_0015,82__CT-6135-0019
80_8088_0016,82__CT-6135-0020
80_8088_0017,82__CT-6135-0021
80_8088_0018,82__CT-6135-0022
80_8088_0019,82__CT-6135-0023
80_8088_0020,82__CT-6135-0024
80_8088_0021,82__CT-6135-0025
80_8088_0022,82__CT-6135-0026
80_8088_0023,82__CT-6135-0027
81_0002_0009,84__CT-0002-0016
81_0002_0010,84__CT-0002-0017
81_0002_0011,84__CT-0002-0018
81_0002_0012,84__CT-0002-0019
81_0002_0014,84__CT-0002-0020
81_0002_0015,84__CT-0002-0021
81_0002_0016,89__CT-0265-0006
81_0002_0017,89__CT-0265-0009
81_0002_0018,89__CT-0265-0011
82_6135_0013,90__CT-3391-0012
82_6135_0014,90__CT-3391-0013
82_6135_0017,90__CT-3391-0014
82_6135_0019,90__CT-3391-0016
82_6135_0020,90__CT-3391-0018
82_6135_0021,90__CT-3391-0019
82_6135_0022,90__CT-3391-0020
82_6135_0023,90__CT-3391-0021
82_6135_0024,92__CT-1298-0017
82_6135_0025,92__CT-1298-0020
82_6135_0026,92__CT-1298-0022
82_6135_0027,92__CT-1298-0023
84_0002_0016,92__CT-1298-0024
84_0002_0017,92__CT-1298-0025
84_0002_0018,92__CT-1298-0026
84_0002_0019,94__CT-7370-0007
84_0002_0020,94__CT-7370-0008
84_0002_0021,94__CT-7370-0011
89_0265_0006,94__CT-7370-0013
89_0265_0009,94__CT-7370-0014
89_0265_0011,94__CT-7370-0016
90_3391_0009,94__CT-7370-0017
90_3391_0010,94__CT-7370-0018
90_3391_0012,94__CT-7370-0019
90_3391_0013,94__CT-7370-0021
90_3391_0014,94__CT-7370-0022
90_3391_0016,101__CT-0002-0006
90_3391_0018,101__CT-0002-0008
90_3391_0019,118__CT-0002-0013
90_3391_0020,118__CT-0002-0014
90_3391_0021,118__CT-0002-0015
92_1298_0017,118__CT-0002-0016
92_1298_0020,118__CT-0002-0017
92_1298_0022,118__CT-0002-0018
92_1298_0023,118__CT-0002-0019
92_1298_0024,118__CT-0002-0020
92_1298_0025,118__CT-0002-0021
92_1298_0026,118__CT-0002-0022
94_7370_0007,120__CT-0002-0010
94_7370_0008,120__CT-0002-0011
94_7370_0011,120__CT-0002-0012
94_7370_0013,120__CT-0002-0013
94_7370_0014,120__CT-0002-0014
94_7370_0016,120__CT-0002-0015
94_7370_0017,120__CT-0002-0016
94_7370_0018,120__CT-0002-0017
94_7370_0019,120__CT-0002-0018
94_7370_0021,120__CT-0002-0019
94_7370_0022,120__CT-0002-0020
101_0002_0006,120__CT-0002-0021
101_0002_0008,121__CT-0844-0008
107_3684_0012,121__CT-0844-0009
107_3684_0013,121__CT-0844-0011
107_3684_0014,121__CT-0844-0012
107_3684_0015,121__CT-0844-0013
107_3684_0016,121__CT-0844-0014
107_3684_0017,121__CT-0844-0015
107_3684_0018,121__CT-0844-0016
107_3684_0019,121__CT-0844-0017
108_6415_0018,136__CT-3870-0022
108_6415_0019,136__CT-3870-0023
108_6415_0020,136__CT-3870-0024
108_6415_0021,136__CT-3870-0025
118_0002_0013,142__CT-INSPIRIUM-2950__CT-2950-0006
118_0002_0014,142__CT-INSPIRIUM-2950__CT-2950-0010
118_0002_0015,142__CT-INSPIRIUM-2951__CT-2951-0006
118_0002_0016,142__CT-INSPIRIUM-2951__CT-2951-0007
118_0002_0017,142__CT-INSPIRIUM-2951__CT-2951-0008
118_0002_0018,142__CT-INSPIRIUM-2951__CT-2951-0009
118_0002_0019,142__CT-INSPIRIUM-2951__CT-2951-0010
118_0002_0020,142__CT-INSPIRIUM-2951__CT-2951-0011
118_0002_0021,144__CT-4000-0012
118_0002_0022,144__CT-4000-0013
120_0002_0010,144__CT-4000-0014
120_0002_0011,144__CT-4000-0015
120_0002_0012,144__CT-4000-0016
120_0002_0013,144__CT-4000-0017
120_0002_0014,144__CT-4000-0018
120_0002_0015,144__CT-4000-0019
120_0002_0016,144__CT-4000-0020
120_0002_0017,144__CT-4000-0021
120_0002_0018,160__CT-1070-0008
120_0002_0019,160__CT-1070-0009
120_0002_0020,160__CT-1070-0010
120_0002_0021,160__CT-1070-0012
121_0844_0008,160__CT-1070-0015
121_0844_0009,160__CT-1070-0016
121_0844_0011,160__CT-1070-0017
121_0844_0012,160__CT-1070-0018
121_0844_0013,160__CT-1070-0019
121_0844_0014,160__CT-1070-0020
121_0844_0015,160__CT-1070-0021
121_0844_0016,160__CT-1070-0022
121_0844_0017,160__CT-1070-0023
128_0007_0022,160__CT-1070-0024
128_0007_0023,160__CT-1070-0026
128_0007_0024,165__CT-4341-0013
128_0007_0025,165__CT-4341-0014
128_0007_0026,167__CT-2968-0015
128_0007_0029,167__CT-2968-0016
128_0007_0030,167__CT-2968-0018
128_0007_0031,167__CT-2968-0019
128_0007_0032,167__CT-2968-0020
128_0007_0033,167__CT-2968-0021
128_0007_0034,168__CT-0002-0005
128_0007_0035,168__CT-0002-0006
128_0007_0036,168__CT-0002-0007
128_0007_0037,168__CT-0002-0008
128_0007_0038,168__CT-0002-0009
128_0007_0039,175__CT.1.3.12.2.1107.5.1.4.54693.30000006091506333673400000084
128_0007_0040,175__CT.1.3.12.2.1107.5.1.4.54693.30000006091506333673400000090
128_0007_0041,175__CT.1.3.12.2.1107.5.1.4.54693.30000006091506333673400000091
128_0007_0042,175__CT.1.3.12.2.1107.5.1.4.54693.30000006091506333673400000103
136_3870_0022,175__CT.1.3.12.2.1107.5.1.4.54693.30000006091506333673400000104
136_3870_0023,184__CT-INSPIRIUM-5841__CT.1.2.840.113704.1.111.5416.1148889453
136_3870_0024,184__CT-INSPIRIUM-5841__CT.1.2.840.113704.1.111.5416.1148889455
136_3870_0025,184__CT-INSPIRIUM-5841__CT.1.2.840.113704.1.111.5416.1148889457
142_2950_0006,184__CT-INSPIRIUM-5841__CT.1.2.840.113704.1.111.5416.1148889458
142_2950_0010,184__CT-INSPIRIUM-5841__CT.1.2.840.113704.1.111.5416.1148889460
142_2951_0002,184__CT-INSPIRIUM-5841__CT.1.2.840.113704.1.111.5416.1148889466
142_2951_0003,184__CT-INSPIRIUM-5841__CT.1.2.840.113704.1.111.5416.1148889468
142_2951_0004,184__CT-INSPIRIUM-5841__CT.1.2.840.113704.1.111.5416.1148889470
142_2951_0006,184__CT-INSPIRIUM-5841__CT.1.2.840.113704.1.111.5416.1148889471
142_2951_0007,184__CT-INSPIRIUM-5842__CT.1.2.840.113704.1.111.5416.1148889515
142_2951_0008,184__CT-INSPIRIUM-5842__CT.1.2.840.113704.1.111.5416.1148889517
142_2951_0009,184__CT-INSPIRIUM-5842__CT.1.2.840.113704.1.111.5416.1148889518
142_2951_0010,184__CT-INSPIRIUM-5842__CT.1.2.840.113704.1.111.5416.1148889520
142_2951_0011,184__CT-INSPIRIUM-5842__CT.1.2.840.113704.1.111.5416.1148889522
144_4000_0012,184__CT-INSPIRIUM-5842__CT.1.2.840.113704.1.111.5416.1148889524
144_4000_0013,184__CT-INSPIRIUM-5842__CT.1.2.840.113704.1.111.5416.1148889525
144_4000_0014,185__CT.1.2.840.113704.1.111.656.1177167309
144_4000_0015,185__CT.1.2.840.113704.1.111.656.1177167310
144_4000_0016,185__CT.1.2.840.113704.1.111.656.1177167318
144_4000_0017,185__CT.1.2.840.113704.1.111.656.1177167319
144_4000_0018,185__CT.1.2.840.113704.1.111.656.1177167322
144_4000_0019,HRCT_Pilot__203__SerieCT-7800-0015
144_4000_0020,HRCT_Pilot__203__SerieCT-7800-0017
144_4000_0021,
150_8157_0004,
150_8157_0005,
150_8157_0008,
150_8157_0009,
150_8157_0011,
155_0002_0035,
155_0002_0036,
155_0002_0037,
155_0002_0039,
155_0002_0040,
157_4834_0017,
157_4834_0018,
157_4834_0019,
160_1070_0008,
160_1070_0009,
160_1070_0010,
160_1070_0012,
160_1070_0015,
160_1070_0016,
160_1070_0017,
160_1070_0018,
160_1070_0019,
160_1070_0020,
160_1070_0021,
160_1070_0022,
160_1070_0023,
160_1070_0024,
160_1070_0026,
167_2968_0015,
167_2968_0016,
167_2968_0018,
167_2968_0019,
167_2968_0020,
167_2968_0021,
168_0002_0005,
168_0002_0006,
168_0002_0007,
168_0002_0008,
168_0002_0009,
175_0007_0014,
175_0007_0020,
175_0007_0021,
175_0007_0033,
175_0007_0034,
177_3538_0004,
177_3538_0005,
177_3538_0006,
177_3538_0007,
177_3538_0008,
177_3538_0009,
177_3538_0010,
177_3538_0011,
177_3538_0012,
177_3538_0014,
177_3538_0015,
177_3538_0016,
177_3538_0018,
177_3538_0019,
179_0002_0012,
179_0002_0013,
179_0002_0014,
179_0002_0016,
179_0002_0018,
179_0002_0019,
179_0002_0022,
179_0002_0027,
179_0002_0029,
179_0002_0034,
179_0002_0035,
179_0002_0037,
179_0002_0039,
181_3207_0005,
181_3207_0006,
181_3207_0007,
181_3207_0008,
181_3207_0009,
181_3207_0010,
181_3207_0011,
181_3207_0012,
181_3207_0015,
181_3207_0016,
181_3207_0018,
181_3207_0020,
184_5841_0004,
184_5841_0005,
184_5841_0006,
184_5841_0007,
184_5841_0008,
184_5841_0009,
184_5841_0010,
184_5841_0011,
184_5841_0012,
184_5842_0001,
184_5842_0002,
184_5842_0003,
184_5842_0004,
184_5842_0005,
184_5842_0006,
184_5842_0007,
185_2916_0007,
185_2916_0008,
185_2916_0012,
185_2916_0013,
185_2916_0015,
203_7800_0015,
203_7800_0017,
204_3962_0017,
204_3962_0018,
207_3903_0019,
208_0002_0008,
208_0002_0014,
